year,quarter,region,sector,enterprise_size,number_of_enterprises,number_of_saudi_employees,number_of_saudi_employees (male),number_of_saudi_employees (female),number_of_foreign_employees,number_of_foreign_employees (male),number_of_foreign_employees (female)
2022,1,Eastern Province,Extraction of Natural Gas,medium,15,52,24,28,1989,980,1009
2022,1,Al Bahah Region,Extraction of Natural Gas,micro,12,8,5,3,20,20,0
2022,1,Al Jawf Region,Extraction of Natural Gas,small,4,20,11,9,17,17,0
2022,1,Al Jawf Region,Extraction of Natural Gas,micro,21,24,11,13,19,19,0
2022,1,Northern Borders Region,Extraction of Natural Gas,small,5,16,2,14,43,13,30
2022,1,Northern Borders Region,Extraction of Natural Gas,micro,13,7,4,3,19,19,0
2022,1,Riyadh Region,Extraction of Natural Gas,small,179,906,362,544,1306,1085,221
2022,1,Riyadh Region,Extraction of Natural Gas,large,51,7954,3048,4906,170771,100347,70424
2022,1,Riyadh Region,Extraction of Natural Gas,micro,696,639,342,297,969,915,54
2022,1,Riyadh Region,Extraction of Natural Gas,medium,26,807,484,323,2658,1600,1058
2022,1,Qassim Region,Extraction of Natural Gas,small,19,60,23,37,173,145,28
2022,1,Qassim Region,Extraction of Natural Gas,micro,56,49,32,17,87,85,2
2022,1,Al Madinah Region,Extraction of Natural Gas,small,12,59,32,27,72,41,31
2022,1,Al Madinah Region,Extraction of Natural Gas,micro,80,78,49,29,114,109,5
2022,1,Tabuk Region,Extraction of Natural Gas,small,6,45,12,33,49,49,0
2022,1,Tabuk Region,Extraction of Natural Gas,micro,39,38,20,18,65,60,5
2022,1,Tabuk Region,Extraction of Natural Gas,medium,1,6,0,6,48,48,0
2022,1,Jazan Region,Extraction of Natural Gas,small,3,4,1,3,19,19,0
2022,1,Jazan Region,Extraction of Natural Gas,micro,32,10,6,4,55,55,0
2022,1,Hail Region,Extraction of Natural Gas,small,11,55,25,30,101,52,49
2022,1,Hail Region,Extraction of Natural Gas,micro,31,30,22,8,50,48,2
2022,1,Aseer Region,Extraction of Natural Gas,small,14,29,14,15,87,39,48
2022,1,Aseer Region,Extraction of Natural Gas,large,3,122,48,74,13143,8912,4231
2022,1,Aseer Region,Extraction of Natural Gas,micro,86,61,38,23,127,118,9
2022,1,Aseer Region,Extraction of Natural Gas,medium,3,91,39,52,409,357,52
2022,1,Makkah Region,Extraction of Natural Gas,small,64,189,103,86,361,337,24
2022,1,Makkah Region,Extraction of Natural Gas,large,7,140,54,86,15855,12523,3332
2022,1,Makkah Region,Extraction of Natural Gas,micro,293,254,147,107,450,432,18
2022,1,Makkah Region,Extraction of Natural Gas,medium,8,212,62,150,673,394,279
2022,1,Najran Region,Extraction of Natural Gas,small,11,10,3,7,98,64,34
2022,1,Najran Region,Extraction of Natural Gas,micro,38,33,16,17,52,46,6
2022,1,Eastern Province,Civil Engineering,small,356,1362,817,545,5002,4985,17
2022,1,Eastern Province,Civil Engineering,large,94,24100,20143,3957,99795,99692,103
2022,1,Eastern Province,Civil Engineering,micro,457,299,162,137,908,904,4
2022,1,Eastern Province,Civil Engineering,medium,152,3289,2451,838,13785,13773,12
2022,1,Al Bahah Region,Civil Engineering,small,6,23,16,7,92,92,0
2022,1,Al Bahah Region,Civil Engineering,large,1,51,45,6,289,289,0
2022,1,Al Bahah Region,Civil Engineering,micro,18,4,2,2,35,35,0
2022,1,Al Bahah Region,Civil Engineering,medium,1,43,43,0,52,52,0
2022,1,Al Jawf Region,Civil Engineering,small,16,54,31,23,192,192,0
2022,1,Al Jawf Region,Civil Engineering,large,1,117,81,36,299,268,31
2022,1,Al Jawf Region,Civil Engineering,micro,40,16,13,3,79,79,0
2022,1,Al Jawf Region,Civil Engineering,medium,6,154,113,41,454,453,1
2022,1,Northern Borders Region,Civil Engineering,small,8,23,18,5,119,119,0
2022,1,Northern Borders Region,Civil Engineering,micro,27,5,2,3,54,54,0
2022,1,Northern Borders Region,Civil Engineering,medium,2,47,23,24,208,208,0
2022,1,Riyadh Region,Civil Engineering,small,610,1992,1026,966,8648,8608,40
2022,1,Riyadh Region,Civil Engineering,large,109,24778,18055,6723,129060,128225,835
2022,1,Riyadh Region,Civil Engineering,micro,1049,463,217,246,2222,2199,23
2022,1,Riyadh Region,Civil Engineering,medium,202,4678,3047,1631,19307,19250,57
2022,1,Qassim Region,Civil Engineering,small,67,213,128,85,932,931,1
2022,1,Qassim Region,Civil Engineering,large,7,1297,851,446,7915,7914,1
2022,1,Qassim Region,Civil Engineering,micro,135,54,30,24,302,300,2
2022,1,Qassim Region,Civil Engineering,medium,20,371,283,88,1767,1757,10
2022,1,Al Madinah Region,Civil Engineering,small,64,211,139,72,790,790,0
2022,1,Al Madinah Region,Civil Engineering,large,9,1032,639,393,3636,3627,9
2022,1,Al Madinah Region,Civil Engineering,micro,146,60,33,27,309,307,2
2022,1,Al Madinah Region,Civil Engineering,medium,20,339,256,83,1339,1338,1
2022,1,Tabuk Region,Civil Engineering,small,17,71,39,32,254,254,0
2022,1,Tabuk Region,Civil Engineering,large,1,69,55,14,341,341,0
2022,1,Tabuk Region,Civil Engineering,micro,45,18,5,13,98,98,0
2022,1,Tabuk Region,Civil Engineering,medium,3,74,55,19,233,233,0
2022,1,Jazan Region,Civil Engineering,small,22,51,32,19,308,306,2
2022,1,Jazan Region,Civil Engineering,large,1,105,84,21,478,478,0
2022,1,Jazan Region,Civil Engineering,micro,86,24,11,13,216,216,0
2022,1,Jazan Region,Civil Engineering,medium,7,224,148,76,808,808,0
2022,1,Hail Region,Civil Engineering,small,25,47,26,21,328,321,7
2022,1,Hail Region,Civil Engineering,large,1,112,94,18,771,771,0
2022,1,Hail Region,Civil Engineering,micro,49,15,9,6,107,107,0
2022,1,Hail Region,Civil Engineering,medium,7,172,130,42,687,662,25
2022,1,Aseer Region,Civil Engineering,small,56,186,120,66,798,796,2
2022,1,Aseer Region,Civil Engineering,large,8,622,533,89,3709,3709,0
2022,1,Aseer Region,Civil Engineering,micro,109,43,26,17,233,233,0
2022,1,Aseer Region,Civil Engineering,medium,17,469,367,102,1827,1827,0
2022,1,Makkah Region,Civil Engineering,small,325,1073,595,478,4375,4339,36
2022,1,Makkah Region,Civil Engineering,large,36,7419,5981,1438,36756,36518,238
2022,1,Makkah Region,Civil Engineering,micro,515,238,131,107,1121,1106,15
2022,1,Makkah Region,Civil Engineering,medium,88,1744,1155,589,7716,7687,29
2022,1,Najran Region,Civil Engineering,small,25,106,63,43,380,379,1
2022,1,Najran Region,Civil Engineering,large,6,689,555,134,2725,2723,2
2022,1,Najran Region,Civil Engineering,micro,47,29,12,17,111,111,0
2022,1,Najran Region,Civil Engineering,medium,8,150,102,48,581,581,0
2022,1,Eastern Province,Water Transport,small,18,181,160,21,132,129,3
2022,1,Eastern Province,Water Transport,micro,53,42,36,6,79,79,0
2022,1,Eastern Province,Water Transport,medium,11,701,545,156,388,380,8
2022,1,Al Bahah Region,Water Transport,micro,1,0,0,0,2,2,0
2022,1,Al Jawf Region,Water Transport,micro,1,1,0,1,0,0,0
2022,1,Northern Borders Region,Water Transport,micro,1,0,0,0,1,1,0
2022,1,Riyadh Region,Water Transport,small,16,134,51,83,162,160,2
2022,1,Riyadh Region,Water Transport,micro,115,25,15,10,237,237,0
2022,1,Riyadh Region,Water Transport,medium,2,106,95,11,53,53,0
2022,1,Qassim Region,Water Transport,small,1,1,1,0,17,17,0
2022,1,Qassim Region,Water Transport,micro,7,1,1,0,18,18,0
2022,1,Al Madinah Region,Water Transport,small,6,85,65,20,60,59,1
2022,1,Al Madinah Region,Water Transport,micro,18,9,8,1,30,29,1
2022,1,Tabuk Region,Water Transport,small,3,28,22,6,25,13,12
2022,1,Tabuk Region,Water Transport,micro,11,3,3,0,10,10,0
2022,1,Jazan Region,Water Transport,small,2,39,24,15,27,27,0
2022,1,Jazan Region,Water Transport,micro,5,3,2,1,12,12,0
2022,1,Jazan Region,Water Transport,medium,1,14,5,9,56,56,0
2022,1,Aseer Region,Water Transport,micro,10,2,1,1,21,21,0
2022,1,Makkah Region,Water Transport,small,26,131,83,48,232,224,8
2022,1,Makkah Region,Water Transport,large,1,109,81,28,160,159,1
2022,1,Makkah Region,Water Transport,micro,100,51,28,23,161,160,1
2022,1,Makkah Region,Water Transport,medium,4,119,69,50,243,243,0
2022,1,Najran Region,Water Transport,small,1,0,0,0,6,6,0
2022,1,Najran Region,Water Transport,micro,7,1,0,1,14,14,0
2022,1,Eastern Province,Air Transport,small,23,114,68,46,296,295,1
2022,1,Eastern Province,Air Transport,micro,59,25,16,9,117,115,2
2022,1,Al Bahah Region,Air Transport,small,1,1,1,0,5,5,0
2022,1,Al Jawf Region,Air Transport,micro,10,1,1,0,27,27,0
2022,1,Northern Borders Region,Air Transport,small,2,11,10,1,29,29,0
2022,1,Riyadh Region,Air Transport,small,24,161,128,33,256,254,2
2022,1,Riyadh Region,Air Transport,large,5,2489,2283,206,1754,1411,343
2022,1,Riyadh Region,Air Transport,micro,241,52,26,26,586,578,8
2022,1,Riyadh Region,Air Transport,medium,7,439,376,63,318,314,4
2022,1,Qassim Region,Air Transport,micro,9,3,0,3,15,15,0
2022,1,Al Madinah Region,Air Transport,small,1,0,0,0,9,9,0
2022,1,Al Madinah Region,Air Transport,micro,11,2,1,1,19,19,0
2022,1,Tabuk Region,Air Transport,small,1,3,2,1,7,7,0
2022,1,Tabuk Region,Air Transport,micro,6,0,0,0,12,12,0
2022,1,Tabuk Region,Air Transport,medium,1,19,17,2,50,50,0
2022,1,Jazan Region,Air Transport,small,2,1,1,0,15,15,0
2022,1,Jazan Region,Air Transport,micro,8,1,1,0,22,22,0
2022,1,Hail Region,Air Transport,small,2,8,5,3,18,18,0
2022,1,Hail Region,Air Transport,micro,16,1,0,1,44,44,0
2022,1,Aseer Region,Air Transport,small,1,3,2,1,8,8,0
2022,1,Aseer Region,Air Transport,micro,11,6,3,3,31,31,0
2022,1,Makkah Region,Air Transport,small,32,146,96,50,381,376,5
2022,1,Makkah Region,Air Transport,large,2,5612,5055,557,148,96,52
2022,1,Makkah Region,Air Transport,micro,63,31,19,12,120,116,4
2022,1,Makkah Region,Air Transport,medium,4,130,112,18,207,207,0
2022,1,Najran Region,Air Transport,micro,2,0,0,0,8,8,0
2022,1,Eastern Province,Land Transport and Transport Via Pipelines,small,662,2293,1319,974,9535,9522,13
2022,1,Eastern Province,Land Transport and Transport Via Pipelines,large,48,8941,7429,1512,23072,23061,11
2022,1,Eastern Province,Land Transport and Transport Via Pipelines,micro,2134,626,300,326,4108,4098,10
2022,1,Eastern Province,Land Transport and Transport Via Pipelines,medium,147,3548,2405,1143,11956,11933,23
2022,1,Al Bahah Region,Land Transport and Transport Via Pipelines,small,15,30,18,12,118,117,1
2022,1,Al Bahah Region,Land Transport and Transport Via Pipelines,micro,173,28,16,12,331,331,0
2022,1,Al Bahah Region,Land Transport and Transport Via Pipelines,medium,3,56,31,25,136,120,16
2022,1,Al Jawf Region,Land Transport and Transport Via Pipelines,small,67,155,108,47,808,807,1
2022,1,Al Jawf Region,Land Transport and Transport Via Pipelines,micro,568,82,57,25,1144,1141,3
2022,1,Al Jawf Region,Land Transport and Transport Via Pipelines,medium,3,92,44,48,254,254,0
2022,1,Northern Borders Region,Land Transport and Transport Via Pipelines,small,54,108,51,57,579,578,1
2022,1,Northern Borders Region,Land Transport and Transport Via Pipelines,micro,338,43,23,20,645,645,0
2022,1,Northern Borders Region,Land Transport and Transport Via Pipelines,medium,3,71,53,18,268,268,0
2022,1,Riyadh Region,Land Transport and Transport Via Pipelines,small,1086,2939,1348,1591,13446,13388,58
2022,1,Riyadh Region,Land Transport and Transport Via Pipelines,large,45,13876,11612,2264,23856,23827,29
2022,1,Riyadh Region,Land Transport and Transport Via Pipelines,micro,12730,1861,863,998,31112,30963,149
2022,1,Riyadh Region,Land Transport and Transport Via Pipelines,medium,184,4001,2189,1812,15434,15417,17
2022,1,Qassim Region,Land Transport and Transport Via Pipelines,small,218,518,313,205,2504,2503,1
2022,1,Qassim Region,Land Transport and Transport Via Pipelines,large,5,660,578,82,2107,2107,0
2022,1,Qassim Region,Land Transport and Transport Via Pipelines,micro,1052,245,143,102,2117,2115,2
2022,1,Qassim Region,Land Transport and Transport Via Pipelines,medium,27,640,489,151,2196,2196,0
2022,1,Al Madinah Region,Land Transport and Transport Via Pipelines,small,123,367,226,141,1553,1551,2
2022,1,Al Madinah Region,Land Transport and Transport Via Pipelines,large,1,91,40,51,288,287,1
2022,1,Al Madinah Region,Land Transport and Transport Via Pipelines,micro,1066,168,83,85,2058,2054,4
2022,1,Al Madinah Region,Land Transport and Transport Via Pipelines,medium,17,298,217,81,1134,1134,0
2022,1,Tabuk Region,Land Transport and Transport Via Pipelines,small,64,131,65,66,636,636,0
2022,1,Tabuk Region,Land Transport and Transport Via Pipelines,micro,533,89,42,47,990,990,0
2022,1,Tabuk Region,Land Transport and Transport Via Pipelines,medium,5,139,116,23,331,331,0
2022,1,Jazan Region,Land Transport and Transport Via Pipelines,small,40,46,25,21,379,379,0
2022,1,Jazan Region,Land Transport and Transport Via Pipelines,large,1,712,535,177,638,606,32
2022,1,Jazan Region,Land Transport and Transport Via Pipelines,micro,498,86,57,29,1030,1025,5
2022,1,Jazan Region,Land Transport and Transport Via Pipelines,medium,5,117,76,41,518,517,1
2022,1,Hail Region,Land Transport and Transport Via Pipelines,small,49,109,37,72,547,546,1
2022,1,Hail Region,Land Transport and Transport Via Pipelines,micro,571,72,26,46,1283,1280,3
2022,1,Hail Region,Land Transport and Transport Via Pipelines,medium,3,26,12,14,180,180,0
2022,1,Aseer Region,Land Transport and Transport Via Pipelines,small,242,528,315,213,2491,2490,1
2022,1,Aseer Region,Land Transport and Transport Via Pipelines,large,1,55,53,2,230,230,0
2022,1,Aseer Region,Land Transport and Transport Via Pipelines,micro,1770,315,166,149,3427,3419,8
2022,1,Aseer Region,Land Transport and Transport Via Pipelines,medium,18,372,217,155,1449,1449,0
2022,1,Makkah Region,Land Transport and Transport Via Pipelines,small,803,2532,1326,1206,10380,10331,49
2022,1,Makkah Region,Land Transport and Transport Via Pipelines,large,14,2692,1888,804,7088,7052,36
2022,1,Makkah Region,Land Transport and Transport Via Pipelines,micro,3502,809,414,395,6976,6887,89
2022,1,Makkah Region,Land Transport and Transport Via Pipelines,medium,114,2295,1436,859,9036,8994,42
2022,1,Najran Region,Land Transport and Transport Via Pipelines,small,92,187,101,86,1071,1069,2
2022,1,Najran Region,Land Transport and Transport Via Pipelines,micro,966,132,60,72,2218,2214,4
2022,1,Najran Region,Land Transport and Transport Via Pipelines,medium,3,57,45,12,192,192,0
2022,1,Eastern Province,Printing and Reproduction of Recorded Media,small,51,253,128,125,571,571,0
2022,1,Eastern Province,Printing and Reproduction of Recorded Media,large,1,1455,1101,354,993,987,6
2022,1,Eastern Province,Printing and Reproduction of Recorded Media,micro,92,67,30,37,124,124,0
2022,1,Eastern Province,Printing and Reproduction of Recorded Media,medium,4,124,78,46,258,258,0
2022,1,Al Bahah Region,Printing and Reproduction of Recorded Media,small,4,11,7,4,26,26,0
2022,1,Al Bahah Region,Printing and Reproduction of Recorded Media,micro,7,4,1,3,16,16,0
2022,1,Al Jawf Region,Printing and Reproduction of Recorded Media,small,1,1,0,1,5,5,0
2022,1,Al Jawf Region,Printing and Reproduction of Recorded Media,micro,9,2,2,0,16,16,0
2022,1,Northern Borders Region,Printing and Reproduction of Recorded Media,small,3,9,6,3,27,27,0
2022,1,Northern Borders Region,Printing and Reproduction of Recorded Media,micro,6,0,0,0,7,7,0
2022,1,Riyadh Region,Printing and Reproduction of Recorded Media,small,144,775,329,446,1610,1603,7
2022,1,Riyadh Region,Printing and Reproduction of Recorded Media,large,1,111,111,0,276,276,0
2022,1,Riyadh Region,Printing and Reproduction of Recorded Media,micro,237,156,65,91,414,406,8
2022,1,Riyadh Region,Printing and Reproduction of Recorded Media,medium,20,601,285,316,1428,1422,6
2022,1,Qassim Region,Printing and Reproduction of Recorded Media,small,12,60,38,22,134,134,0
2022,1,Qassim Region,Printing and Reproduction of Recorded Media,micro,28,8,5,3,50,50,0
2022,1,Qassim Region,Printing and Reproduction of Recorded Media,medium,2,49,12,37,91,91,0
2022,1,Al Madinah Region,Printing and Reproduction of Recorded Media,small,7,10,7,3,67,59,8
2022,1,Al Madinah Region,Printing and Reproduction of Recorded Media,large,1,864,864,0,111,111,0
2022,1,Al Madinah Region,Printing and Reproduction of Recorded Media,micro,54,17,12,5,107,107,0
2022,1,Al Madinah Region,Printing and Reproduction of Recorded Media,medium,1,46,37,9,34,34,0
2022,1,Tabuk Region,Printing and Reproduction of Recorded Media,small,5,15,7,8,31,31,0
2022,1,Tabuk Region,Printing and Reproduction of Recorded Media,micro,15,7,5,2,28,26,2
2022,1,Jazan Region,Printing and Reproduction of Recorded Media,small,3,9,4,5,23,23,0
2022,1,Jazan Region,Printing and Reproduction of Recorded Media,micro,11,3,3,0,23,23,0
2022,1,Hail Region,Printing and Reproduction of Recorded Media,small,5,21,14,7,62,62,0
2022,1,Hail Region,Printing and Reproduction of Recorded Media,micro,24,14,7,7,42,42,0
2022,1,Aseer Region,Printing and Reproduction of Recorded Media,small,11,53,20,33,143,142,1
2022,1,Aseer Region,Printing and Reproduction of Recorded Media,micro,27,19,11,8,51,50,1
2022,1,Makkah Region,Printing and Reproduction of Recorded Media,small,91,384,167,217,996,983,13
2022,1,Makkah Region,Printing and Reproduction of Recorded Media,micro,217,98,57,41,408,399,9
2022,1,Makkah Region,Printing and Reproduction of Recorded Media,medium,11,316,145,171,710,696,14
2022,1,Najran Region,Printing and Reproduction of Recorded Media,small,3,9,3,6,27,26,1
2022,1,Najran Region,Printing and Reproduction of Recorded Media,micro,4,0,0,0,9,9,0
2022,1,Eastern Province,Other Manufacturing,small,75,413,335,78,997,996,1
2022,1,Eastern Province,Other Manufacturing,large,3,693,670,23,740,737,3
2022,1,Eastern Province,Other Manufacturing,micro,93,61,47,14,150,147,3
2022,1,Eastern Province,Other Manufacturing,medium,19,572,372,200,1061,1060,1
2022,1,Al Bahah Region,Other Manufacturing,small,2,2,0,2,15,14,1
2022,1,Al Bahah Region,Other Manufacturing,micro,5,1,1,0,14,14,0
2022,1,Al Jawf Region,Other Manufacturing,micro,5,2,2,0,6,6,0
2022,1,Northern Borders Region,Other Manufacturing,micro,3,1,1,0,4,4,0
2022,1,Riyadh Region,Other Manufacturing,small,133,589,291,298,1923,1894,29
2022,1,Riyadh Region,Other Manufacturing,large,7,918,399,519,3458,3430,28
2022,1,Riyadh Region,Other Manufacturing,micro,193,94,61,33,381,376,5
2022,1,Riyadh Region,Other Manufacturing,medium,42,916,584,332,3041,3029,12
2022,1,Qassim Region,Other Manufacturing,small,7,26,16,10,120,120,0
2022,1,Qassim Region,Other Manufacturing,micro,24,22,19,3,38,38,0
2022,1,Al Madinah Region,Other Manufacturing,small,8,28,20,8,69,68,1
2022,1,Al Madinah Region,Other Manufacturing,large,1,301,298,3,218,218,0
2022,1,Al Madinah Region,Other Manufacturing,micro,33,18,13,5,58,58,0
2022,1,Al Madinah Region,Other Manufacturing,medium,2,34,22,12,187,186,1
2022,1,Tabuk Region,Other Manufacturing,micro,11,3,1,2,26,24,2
2022,1,Jazan Region,Other Manufacturing,small,4,6,4,2,32,32,0
2022,1,Jazan Region,Other Manufacturing,micro,15,3,3,0,31,31,0
2022,1,Hail Region,Other Manufacturing,small,3,17,11,6,15,15,0
2022,1,Hail Region,Other Manufacturing,micro,9,2,1,1,22,21,1
2022,1,Aseer Region,Other Manufacturing,small,13,42,30,12,151,150,1
2022,1,Aseer Region,Other Manufacturing,micro,29,14,10,4,54,52,2
2022,1,Makkah Region,Other Manufacturing,small,94,431,210,221,1386,1373,13
2022,1,Makkah Region,Other Manufacturing,large,6,706,545,161,2340,2329,11
2022,1,Makkah Region,Other Manufacturing,micro,154,83,40,43,274,261,13
2022,1,Makkah Region,Other Manufacturing,medium,20,478,306,172,1496,1492,4
2022,1,Najran Region,Other Manufacturing,small,1,2,1,1,6,6,0
2022,1,Najran Region,Other Manufacturing,micro,3,3,3,0,6,6,0
2022,1,Najran Region,Other Manufacturing,medium,1,30,30,0,119,119,0
2022,1,Eastern Province,Sewerage,small,12,36,19,17,149,149,0
2022,1,Eastern Province,Sewerage,large,2,339,293,46,1796,1796,0
2022,1,Eastern Province,Sewerage,micro,27,23,12,11,52,51,1
2022,1,Eastern Province,Sewerage,medium,2,20,10,10,100,99,1
2022,1,Al Bahah Region,Sewerage,small,1,0,0,0,10,10,0
2022,1,Al Bahah Region,Sewerage,micro,3,2,1,1,11,11,0
2022,1,Al Jawf Region,Sewerage,micro,7,1,0,1,13,13,0
2022,1,Northern Borders Region,Sewerage,micro,3,0,0,0,12,12,0
2022,1,Riyadh Region,Sewerage,small,31,70,33,37,449,448,1
2022,1,Riyadh Region,Sewerage,large,1,37,16,21,228,227,1
2022,1,Riyadh Region,Sewerage,micro,98,27,9,18,231,231,0
2022,1,Riyadh Region,Sewerage,medium,5,69,56,13,398,398,0
2022,1,Qassim Region,Sewerage,small,7,9,4,5,55,54,1
2022,1,Qassim Region,Sewerage,micro,18,8,5,3,43,43,0
2022,1,Al Madinah Region,Sewerage,small,7,14,13,1,77,77,0
2022,1,Al Madinah Region,Sewerage,micro,13,3,1,2,33,32,1
2022,1,Tabuk Region,Sewerage,small,1,1,0,1,6,6,0
2022,1,Tabuk Region,Sewerage,micro,6,1,1,0,17,17,0
2022,1,Jazan Region,Sewerage,micro,17,2,1,1,45,45,0
2022,1,Hail Region,Sewerage,small,3,18,14,4,58,58,0
2022,1,Hail Region,Sewerage,micro,13,3,1,2,39,39,0
2022,1,Aseer Region,Sewerage,small,3,7,4,3,51,51,0
2022,1,Aseer Region,Sewerage,micro,8,1,1,0,22,22,0
2022,1,Aseer Region,Sewerage,medium,1,26,20,6,92,92,0
2022,1,Makkah Region,Sewerage,small,20,72,37,35,200,200,0
2022,1,Makkah Region,Sewerage,micro,70,22,8,14,158,156,2
2022,1,Makkah Region,Sewerage,medium,6,47,35,12,414,413,1
2022,1,Najran Region,Sewerage,micro,2,0,0,0,5,5,0
2022,1,Eastern Province,Human Health Activities,small,277,2214,517,1697,3405,1790,1615
2022,1,Eastern Province,Human Health Activities,large,49,22434,10394,12040,19221,8776,10445
2022,1,Eastern Province,Human Health Activities,micro,221,203,61,142,351,254,97
2022,1,Eastern Province,Human Health Activities,medium,106,4676,1408,3268,6863,3819,3044
2022,1,Al Bahah Region,Human Health Activities,small,26,213,82,131,363,145,218
2022,1,Al Bahah Region,Human Health Activities,large,1,806,674,132,3,2,1
2022,1,Al Bahah Region,Human Health Activities,micro,22,20,11,9,28,19,9
2022,1,Al Bahah Region,Human Health Activities,medium,2,208,175,33,66,27,39
2022,1,Al Jawf Region,Human Health Activities,small,36,319,132,187,421,228,193
2022,1,Al Jawf Region,Human Health Activities,large,3,1350,888,462,1,1,0
2022,1,Al Jawf Region,Human Health Activities,micro,24,16,6,10,43,31,12
2022,1,Al Jawf Region,Human Health Activities,medium,12,659,378,281,423,219,204
2022,1,Northern Borders Region,Human Health Activities,small,24,125,40,85,250,138,112
2022,1,Northern Borders Region,Human Health Activities,micro,21,22,9,13,47,31,16
2022,1,Northern Borders Region,Human Health Activities,medium,9,739,427,312,168,101,67
2022,1,Riyadh Region,Human Health Activities,small,782,5879,1988,3891,10353,5164,5189
2022,1,Riyadh Region,Human Health Activities,large,86,47448,25953,21495,42172,18748,23424
2022,1,Riyadh Region,Human Health Activities,micro,678,501,191,310,1056,709,347
2022,1,Riyadh Region,Human Health Activities,medium,231,9779,3861,5918,14623,7508,7115
2022,1,Qassim Region,Human Health Activities,small,100,800,318,482,1362,636,726
2022,1,Qassim Region,Human Health Activities,large,14,4370,3199,1171,3533,832,2701
2022,1,Qassim Region,Human Health Activities,micro,56,38,19,19,94,76,18
2022,1,Qassim Region,Human Health Activities,medium,39,1448,862,586,2675,1476,1199
2022,1,Al Madinah Region,Human Health Activities,small,138,1027,385,642,1799,853,946
2022,1,Al Madinah Region,Human Health Activities,large,22,10922,7704,3218,4698,2222,2476
2022,1,Al Madinah Region,Human Health Activities,micro,77,69,31,38,121,79,42
2022,1,Al Madinah Region,Human Health Activities,medium,32,1088,371,717,1833,915,918
2022,1,Tabuk Region,Human Health Activities,small,53,385,97,288,578,321,257
2022,1,Tabuk Region,Human Health Activities,large,3,4185,2536,1649,2208,958,1250
2022,1,Tabuk Region,Human Health Activities,micro,29,22,4,18,53,36,17
2022,1,Tabuk Region,Human Health Activities,medium,11,444,197,247,634,343,291
2022,1,Jazan Region,Human Health Activities,small,89,1079,358,721,1012,511,501
2022,1,Jazan Region,Human Health Activities,large,6,2973,1719,1254,1276,386,890
2022,1,Jazan Region,Human Health Activities,micro,68,37,11,26,131,109,22
2022,1,Jazan Region,Human Health Activities,medium,17,889,303,586,681,375,306
2022,1,Hail Region,Human Health Activities,small,52,371,134,237,556,315,241
2022,1,Hail Region,Human Health Activities,large,6,1914,1146,768,1515,461,1054
2022,1,Hail Region,Human Health Activities,micro,47,46,17,29,62,49,13
2022,1,Hail Region,Human Health Activities,medium,19,1027,556,471,1235,562,673
2022,1,Aseer Region,Human Health Activities,small,129,902,258,644,1613,766,847
2022,1,Aseer Region,Human Health Activities,large,13,4128,2522,1606,4534,2418,2116
2022,1,Aseer Region,Human Health Activities,micro,117,86,32,54,184,131,53
2022,1,Aseer Region,Human Health Activities,medium,47,1966,789,1177,2935,1360,1575
2022,1,Makkah Region,Human Health Activities,small,629,4862,1338,3524,7643,3753,3890
2022,1,Makkah Region,Human Health Activities,large,48,21928,12326,9602,20749,9772,10977
2022,1,Makkah Region,Human Health Activities,micro,448,330,129,201,713,529,184
2022,1,Makkah Region,Human Health Activities,medium,182,6920,2331,4589,11706,5801,5905
2022,1,Najran Region,Human Health Activities,small,57,405,194,211,663,343,320
2022,1,Najran Region,Human Health Activities,large,3,689,633,56,192,110,82
2022,1,Najran Region,Human Health Activities,micro,32,18,10,8,49,37,12
2022,1,Najran Region,Human Health Activities,medium,18,936,695,241,949,563,386
2022,1,Eastern Province,Residential Care Activities,small,8,130,4,126,27,11,16
2022,1,Eastern Province,Residential Care Activities,micro,6,12,5,7,4,1,3
2022,1,Eastern Province,Residential Care Activities,medium,1,72,21,51,62,44,18
2022,1,Al Jawf Region,Residential Care Activities,small,1,30,2,28,0,0,0
2022,1,Al Jawf Region,Residential Care Activities,micro,3,1,1,0,4,4,0
2022,1,Riyadh Region,Residential Care Activities,small,28,445,37,408,117,54,63
2022,1,Riyadh Region,Residential Care Activities,micro,15,10,3,7,18,18,0
2022,1,Riyadh Region,Residential Care Activities,medium,5,283,50,233,167,103,64
2022,1,Qassim Region,Residential Care Activities,small,4,69,11,58,45,35,10
2022,1,Qassim Region,Residential Care Activities,micro,2,1,0,1,3,3,0
2022,1,Qassim Region,Residential Care Activities,medium,1,51,33,18,10,10,0
2022,1,Al Madinah Region,Residential Care Activities,small,3,74,22,52,13,8,5
2022,1,Al Madinah Region,Residential Care Activities,micro,6,13,11,2,5,4,1
2022,1,Al Madinah Region,Residential Care Activities,medium,1,23,10,13,27,22,5
2022,1,Tabuk Region,Residential Care Activities,small,1,13,1,12,1,0,1
2022,1,Tabuk Region,Residential Care Activities,micro,1,4,1,3,0,0,0
2022,1,Tabuk Region,Residential Care Activities,medium,1,73,24,49,20,17,3
2022,1,Jazan Region,Residential Care Activities,small,4,55,14,41,5,3,2
2022,1,Jazan Region,Residential Care Activities,micro,2,3,1,2,1,1,0
2022,1,Hail Region,Residential Care Activities,small,2,23,6,17,7,5,2
2022,1,Hail Region,Residential Care Activities,micro,1,2,0,2,0,0,0
2022,1,Aseer Region,Residential Care Activities,small,3,88,2,86,21,8,13
